categoria_id,sku,precio_compra,img_caratula,precio_intercambio,precio_venta,categoria_str,titulo
1001,5026555417037,27.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,37.00,58.00,PlayStation 4,Grand Theft Auto V (5)
1001,5030917181733,20.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,27.00,42.00,PlayStation 4,Call Of Duty: Black Ops III
1001,5030917197185,20.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,27.00,42.00,PlayStation 4,Call Of Duty: Infinite Warfare
1001,0711719454410,19.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,26.00,40.00,PlayStation 4,Uncharted 4: El desenlace del ladrón
1001,5030941113762,32.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,39.00,58.00,PlayStation 4,Battlefield 1
1001,3307215966730,26.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,35.00,55.00,PlayStation 4,Watch Dogs 2
1001,5030937116388,31.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,42.00,65.00,PlayStation 4,FIFA 17
1001,3307215804445,12.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,16.00,25.00,PlayStation 4,"Division, The"
1001,5026555421690,16.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00,35.00,PlayStation 4,Mafia III
1001,5030931112881,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,18.00,PlayStation 4,FIFA 16
1001,5030917124549,7.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,9.00,15.00,PlayStation 4,Destiny
1001,3307215732939,9.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,13.00,20.00,PlayStation 4,Watch Dogs
1001,5021290072985,23.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,31.00,48.00,PlayStation 4,Final Fantasy XV
1001,3307215938782,16.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00,35.00,PlayStation 4,Far Cry Primal
1001,711719275473,5.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,7.00,12.00,PlayStation 4,Killzone: Shadow Fall
977,0045496473358,26.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,30.00,42.00,Nintendo 3DS,Pokemon Sol
977,045496526313,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,25.00,Nintendo 3DS,Pokemon Rubi Omega
977,045496473464,26.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,30.00,42.00,Nintendo 3DS,Pokemon Luna
977,045496521233,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,18.00,28.00,Nintendo 3DS,Super Mario 3D Land
977,045496524227,13.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,18.00,28.00,Nintendo 3DS,Pokemon X
977,045496522582,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,18.00,28.00,Nintendo 3DS,New Super Mario Bros. 2
977,045496520830,9.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,13.00,20.00,Nintendo 3DS,Legend Of Zelda Ocarina Of Time 3D
977,045496526320,13.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,18.00,28.00,Nintendo 3DS,Pokemon: Zafiro Alfa
977,045496524333,13.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,18.00,28.00,Nintendo 3DS,Pokemon Y
977,045496474287,31.00,/product_images/defimg2_s.jpg,35.00,45.00,Nintendo 3DS,Super Mario Maker
977,045496521301,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,18.00,28.00,Nintendo 3DS,Mario Kart 7
977,045496523848,14.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,19.00,30.00,Nintendo 3DS,Animal Crossing: New Leaf
977,0045496526283,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,19.00,30.00,Nintendo 3DS,Super Smash Bros.
977,045496522629,9.00,/product_images/Juegos/3DS Juegos/045496522629_s.jpg,13.00,20.00,Nintendo 3DS,Profesor Layton: Máscara de los prodigio
977,045496529703,14.00,/product_images/Juegos/3DS Juegos/045496529703_s.jpg,19.00,30.00,Nintendo 3DS,Pokemon Mundo Megamisterioso
834,045496463106,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,11.00,18.00,Nintendo DS,New Super Mario Bros.
834,045496462338,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,9.00,15.00,Nintendo DS,Mario Kart DS
834,045496462543,5.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,7.00,12.00,Nintendo DS,Animal Crossing: Wild World
834,045496471118,6.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,9.00,15.00,Nintendo DS,Pokemon Edicion Blanca
834,045496464844,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,9.00,15.00,Nintendo DS,Pokemon Diamante
834,045496463595,5.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,7.00,12.00,Nintendo DS,Pokemon Mundo Misterioso Equipo Azul
834,045496464936,6.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,9.00,15.00,Nintendo DS,Pokemon Perla
834,045496471057,6.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,9.00,15.00,Nintendo DS,Pokemon Edicion Negra
834,045496462031,8.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,11.00,18.00,Nintendo DS,Super Mario 64 DS
834,045496462567,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.70,2.00,Nintendo DS,Brain Training
834,045496469641,14.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,20.00,32.00,Nintendo DS,Pokemon Oro HeartGold Sin Pokewalker
834,045496462857,11.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,15.00,25.00,Nintendo DS,Pokemon Edicion Negra 2
834,045496462246,0.80,/product_images/Juegos/DS Juegos/045496462246_s.jpg,1.30,3.50,Nintendo DS,NintenDogs Labrador & Friends
834,045496465377,6.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,9.00,15.00,Nintendo DS,Legend of Zelda: Phantom Hourglass
834,045496470647,1.20,/product_images/Juegos/DS Juegos/045496470647_s.jpg,1.90,5.00,Nintendo DS,Inazuma Eleven
830,3760156480831,3.00,/product_images/defimg4_s.jpg,5.00,15.00,PC,Moto Racer 4 (P)
830,3760156481111,2.00,/product_images/defimg4_s.jpg,4.00,12.00,PC,Yesterday Origins (P)
830,8436016710770,0.40,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.70,2.00,PC,"Whispered World, The - Edición Especial"
830,8436010150572,0.20,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.40,1.50,PC,Imperium II
830,8414185051528,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,4.00,12.00,PC,Los Sims 2 (SN)
830,4260089416710,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.01,0.15,PC,Crookz: The Big Heist (P)
830,8436010150527,0.01,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.01,0.10,PC,Torrente El Juego
830,8414606866977,0.10,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.30,1.00,PC,Stasis
830,5060193302294,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,1.00,PC,Warhammer 40000 - Armageddon (SN)
830,3307210220134,0.01,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.10,0.50,PC,Splinter Cell Chaos Theory
830,8436010150275,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,1.50,PC,Imperium
830,8414185050873,0.01,/product_images/Juegos/PC Juegos/8414185050873_s.jpg,0.01,0.10,PC,Los Sims Animales A Raudales (SN) (2 CDS)
830,8420266991255,0.01,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.01,0.25,PC,"Longest Journey, The (4 Discs)"
830,8436010150671,0.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,1.00,3.50,PC,Imperium III
830,8436010151531,0.10,/product_images/Juegos/PC Juegos/8436010151531_s.jpg,0.20,0.75,PC,Sherlock Holmes La Aventura (The Awakene
821,5026555410267,6.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,9.00,15.00,PlayStation 3,Grand Theft Auto V (5)
821,5030917111761,2.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,4.00,12.00,PlayStation 3,Call Of Duty: Black Ops II
821,5030917096808,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,3.00,5.00,PlayStation 3,Call Of Duty: Modern Warfare 3
821,5030917126116,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,3.00,5.00,PlayStation 3,Call Of Duty: Ghosts
821,5030933111103,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,2.00,PlayStation 3,FIFA 14
821,5030937112373,1.60,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,2.00,7.00,PlayStation 3,FIFA 15
821,5030917085802,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,7.00,PlayStation 3,Call Of Duty: Black Ops
821,711719190059,1.20,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,1.90,5.00,PlayStation 3,Gran Turismo 5
821,5030917147906,5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,7.00,12.00,PlayStation 3,Call Of Duty: Advanced Warfare
821,5030934109680,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.10,0.50,PlayStation 3,FIFA 13
