precio_intercambio,titulo,sku,precio_venta,categoria_str,categoria_id,img_caratula,precio_compra
50.00,Horizon: Zero Dawn,711719825265,65.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,45.00
18.00,Call Of Duty: Infinite Warfare,5030917197185,30.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,13.00
28.00,Grand Theft Auto V (5),5026555417037,45.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,20.00
24.00,Call Of Duty: Black Ops III,5030917181733,38.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,17.00
20.00,Uncharted 4: El desenlace del ladrón,0711719454410,32.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,14.00
11.00,"Division, The",3307215804445,18.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,8.00
34.00,FIFA 17,5030937116388,55.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,24.00
15.00,Mafia III,5026555421690,25.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,11.00
39.00,Resident Evil 7: Biohazard,5055060900574,58.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,32.00
25.00,Watch Dogs 2,3307215966730,40.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,18.00
31.00,Battlefield 1,5030941113762,50.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,22.00
42.00,For Honor (No DLC),3307215914946,62.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,34.00
5.00,FIFA 16,5030931112881,15.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,3.00
7.00,Watch Dogs,3307215732939,12.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,5.00
24.00,Final Fantasy XV,5021290072985,38.00,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,17.00
13.00,Legend Of Zelda Ocarina Of Time 3D,045496520830,20.00,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,9.00
24.00,Pokemon Sol,0045496473358,38.00,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,18.00
