categoria_str,sku,precio_compra,categoria_id,precio_venta,img_caratula,precio_intercambio,titulo
PlayStation 4,5055060900574,42.00,1001,60.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,46.00,Resident Evil 7: Biohazard
PlayStation 4,5026555417037,22.00,1001,50.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,31.00,Grand Theft Auto V (5)
PlayStation 4,5030917197185,18.00,1001,42.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,26.00,Call Of Duty: Infinite Warfare
PlayStation 4,5030917181733,18.00,1001,42.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,Call Of Duty: Black Ops III
PlayStation 4,5030941113762,32.00,1001,58.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,39.00,Battlefield 1
PlayStation 4,5030937116388,27.00,1001,60.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,37.00,FIFA 17
PlayStation 4,0711719454410,18.00,1001,40.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,25.00,Uncharted 4: El desenlace del ladrón
PlayStation 4,5030931112881,4.00,1001,18.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,FIFA 16
PlayStation 4,3307215804445,11.00,1001,25.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,15.00,"Division, The"
PlayStation 4,5026555421690,15.00,1001,35.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00,Mafia III
PlayStation 4,3307215966730,24.00,1001,55.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,34.00,Watch Dogs 2
PlayStation 4,3307215732939,9.00,1001,20.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00,Watch Dogs
PlayStation 4,3307215803530,14.00,1001,32.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,20.00,Assassin's Creed: Unity
PlayStation 4,3307215938782,15.00,1001,35.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00,Far Cry Primal
PlayStation 4,5021290072985,21.00,1001,48.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,30.00,Final Fantasy XV
Nintendo 3DS,0045496473358,26.00,977,42.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,30.00,Pokemon Sol
Nintendo 3DS,045496526313,12.00,977,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,Pokemon Rubi Omega
Nintendo 3DS,045496473464,26.00,977,42.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,30.00,Pokemon Luna
Nintendo 3DS,045496524227,13.00,977,28.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,18.00,Pokemon X
Nintendo 3DS,045496520830,9.00,977,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,13.00,Legend Of Zelda Ocarina Of Time 3D
Nintendo 3DS,045496526320,13.00,977,28.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,18.00,Pokemon: Zafiro Alfa
Nintendo 3DS,045496524333,13.00,977,28.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,18.00,Pokemon Y
Nintendo 3DS,045496474287,31.00,977,45.00,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,35.00,Super Mario Maker
Nintendo 3DS,045496521233,13.00,977,28.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,18.00,Super Mario 3D Land
Nintendo 3DS,045496523848,14.00,977,30.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,19.00,Animal Crossing: New Leaf
Nintendo 3DS,045496522582,13.00,977,28.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,18.00,New Super Mario Bros. 2
Nintendo 3DS,045496521301,13.00,977,28.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,18.00,Mario Kart 7
Nintendo 3DS,0045496526283,14.00,977,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,19.00,Super Smash Bros.
Nintendo 3DS,045496524531,9.00,977,20.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,13.00,Legend of Zelda: A Link Between Worlds
Nintendo 3DS,045496472313,19.00,977,35.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,23.00,Yo-Kai Watch
Nintendo DS,045496463106,8.00,834,18.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,11.00,New Super Mario Bros.
Nintendo DS,045496462338,6.00,834,15.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,9.00,Mario Kart DS
Nintendo DS,045496462567,0.40,834,2.00,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.70,Brain Training
Nintendo DS,045496464844,6.00,834,15.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,9.00,Pokemon Diamante
Nintendo DS,045496471118,6.00,834,15.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,9.00,Pokemon Edicion Blanca
Nintendo DS,045496462543,5.00,834,12.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,7.00,Animal Crossing: Wild World
Nintendo DS,045496471057,6.00,834,15.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,9.00,Pokemon Edicion Negra
Nintendo DS,045496462031,8.00,834,18.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,11.00,Super Mario 64 DS
Nintendo DS,045496463595,5.00,834,12.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,7.00,Pokemon Mundo Misterioso Equipo Azul
Nintendo DS,045496462246,0.80,834,3.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg,1.30,NintenDogs Labrador & Friends
Nintendo DS,045496469641,14.00,834,32.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,20.00,Pokemon Oro HeartGold Sin Pokewalker
Nintendo DS,045496464936,6.00,834,15.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,9.00,Pokemon Perla
Nintendo DS,045496465377,6.00,834,15.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,9.00,Legend of Zelda: Phantom Hourglass
Nintendo DS,045496462857,11.00,834,25.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,15.00,Pokemon Edicion Negra 2
Nintendo DS,04549646,15.00,834,35.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,22.00,Pokemon Plata SoulSilver Sin Pokewalker
