categoria_id,precio_venta,img_caratula,precio_compra,titulo,precio_intercambio,categoria_str,sku
1001,40.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,19.00,Call Of Duty: Black Ops III,26.00,PlayStation 4,5030917181733
1001,42.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,20.00,Uncharted 4: El desenlace del ladrón,27.00,PlayStation 4,0711719454410
1001,45.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,21.00,Call Of Duty: Infinite Warfare,29.00,PlayStation 4,5030917197185
1001,55.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,26.00,Grand Theft Auto V (5),35.00,PlayStation 4,5026555417037
1001,18.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,4.00,FIFA 16,6.00,PlayStation 4,5030931112881
1001,65.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,31.00,FIFA 17,42.00,PlayStation 4,5030937116388
1001,60.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,33.00,Watch Dogs 2,40.00,PlayStation 4,3307215966730
1001,55.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,30.00,Battlefield 1,37.00,PlayStation 4,5030941113762
1001,38.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,18.00,Mafia III,24.00,PlayStation 4,5026555421690
1001,50.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,28.00,Final Fantasy XV,34.00,PlayStation 4,5021290072985
1001,25.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,12.00,"Division, The",16.00,PlayStation 4,3307215804445
1001,22.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,10.00,Watch Dogs,14.00,PlayStation 4,3307215732939
1001,35.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,16.00,Assassin's Creed: Syndicate,22.00,PlayStation 4,3307215893227
1001,38.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,18.00,Far Cry Primal,24.00,PlayStation 4,3307215938782
1001,30.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,14.00,Star Wars: Battlefront,19.00,PlayStation 4,5030934121637
977,42.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,26.00,Pokemon Sol,30.00,Nintendo 3DS,0045496473358
977,42.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,26.00,Pokemon Luna,30.00,Nintendo 3DS,045496473464
977,25.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,12.00,Legend Of Zelda Ocarina Of Time 3D,16.00,Nintendo 3DS,045496520830
977,28.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,13.00,Pokemon Y,18.00,Nintendo 3DS,045496524333
977,28.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,13.00,Pokemon: Zafiro Alfa,18.00,Nintendo 3DS,045496526320
977,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,14.00,Super Smash Bros.,19.00,Nintendo 3DS,0045496526283
977,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,12.00,Pokemon Rubi Omega,16.00,Nintendo 3DS,045496526313
977,28.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,13.00,Mario Kart 7,18.00,Nintendo 3DS,045496521301
977,28.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,13.00,Super Mario 3D Land,18.00,Nintendo 3DS,045496521233
977,28.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,13.00,New Super Mario Bros. 2,18.00,Nintendo 3DS,045496522582
977,35.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,19.00,Yo-Kai Watch,23.00,Nintendo 3DS,045496472313
977,28.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,13.00,Pokemon X,18.00,Nintendo 3DS,045496524227
977,22.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,10.00,Monster Hunter 4 Ultimate,14.00,Nintendo 3DS,045496527075
977,20.00,/product_images/Juegos/3DS Juegos/045496527518_s.jpg,9.00,Inazuma Eleven Go Chrono Stones: Llamarada,13.00,Nintendo 3DS,045496527518
977,45.00,/product_images/defimg5_s.jpg,31.00,Super Mario Maker,35.00,Nintendo 3DS,045496474287
834,18.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,8.00,New Super Mario Bros.,11.00,Nintendo DS,045496463106
834,12.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,5.00,Mario Kart DS,7.00,Nintendo DS,045496462338
834,2.00,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.40,Brain Training,0.70,Nintendo DS,045496462567
834,18.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,8.00,Pokemon Edicion Negra,11.00,Nintendo DS,045496471057
834,12.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,5.00,Pokemon Mundo Misterioso Equipo Azul,7.00,Nintendo DS,045496463595
834,2.00,/product_images/Juegos/DS Juegos/045496464721_s.jpg,0.40,Mas Brain Training,0.70,Nintendo DS,045496464721
834,28.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,12.00,Pokemon Edicion Negra 2,17.00,Nintendo DS,045496462857
834,4.00,/product_images/Juegos/DS Juegos/045496462246_s.jpg,0.90,NintenDogs Labrador & Friends,1.50,Nintendo DS,045496462246
834,12.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,5.00,Legend of Zelda: Phantom Hourglass,7.00,Nintendo DS,045496465377
834,40.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,18.00,Pokemon Plata SoulSilver Sin Pokewalker,25.00,Nintendo DS,04549646
834,12.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,5.00,Animal Crossing: Wild World,7.00,Nintendo DS,045496462543
834,16.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,7.00,Super Mario 64 DS,10.00,Nintendo DS,045496462031
834,6.00,/product_images/Juegos/DS Juegos/045496471644_s.jpg,2.00,Inazuma Eleven 2  Tormenta De Fuego,3.00,Nintendo DS,045496471644
834,4.50,/product_images/Juegos/DS Juegos/045496470647_s.jpg,1.00,Inazuma Eleven,1.70,Nintendo DS,045496470647
834,15.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,6.00,Pokemon Diamante,9.00,Nintendo DS,045496464844
830,2.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.50,"Whispered World, The - Edición Especial",0.90,PC,8436016710770
830,1.50,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.20,Imperium,0.40,PC,8436010150275
830,1.00,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.10,Imperium II,0.30,PC,8436010150572
830,14.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,3.00,Age of Empires Collectors Edition,5.00,PC,3307210245281
830,10.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,2.00,Los Sims 2 (SN),3.00,PC,8414185051528
830,1.00,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,0.10,Call of Juarez: Bound in Blood,0.30,PC,3307211657861
830,0.25,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,0.01,Torrente El Juego,0.01,PC,8436010150527
830,1.00,/product_images/Juegos/PC Juegos/3307210217493_s.jpg,0.10,Heroes of Might & Magic V (SN),0.30,PC,3307210217493
830,0.75,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.10,Splinter Cell Chaos Theory,0.20,PC,3307210220134
830,0.10,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.01,"Runaway, A Road To Adventure",0.01,PC,8436010150398
830,3.00,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.40,Imperium III,0.90,PC,8436010150671
830,0.25,/product_images/Juegos/PC Juegos/3307210249555_s.jpg,0.01,Ghost Recon Advanced Warfighter 2,0.01,PC,3307210249555
830,0.10,/product_images/Juegos/PC Juegos/8414185050408_s.jpg,0.01,Los Sims Primera Cita (SN) 1cd,0.01,PC,8414185050408
830,2.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,Warhammer 40000 - Armageddon (SN),0.60,PC,5060193302294
830,2.00,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.30,Stasis,0.60,PC,8414606866977
821,15.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,6.00,Grand Theft Auto V (5),9.00,PlayStation 3,5026555410267
821,7.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,FIFA 15,4.00,PlayStation 3,5030937112373
821,12.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,2.00,Call Of Duty: Black Ops II,4.00,PlayStation 3,5030917111761
821,2.00,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.30,FIFA 14,0.60,PlayStation 3,5030933111103
821,6.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,2.00,Grand Theft Auto IV,3.00,PlayStation 3,5026555400251
821,5.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,Call Of Duty: Ghosts,3.00,PlayStation 3,5030917126116
821,5.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,Call Of Duty: Modern Warfare 3,3.00,PlayStation 3,5030917096808
821,7.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,3.00,Call Of Duty: Black Ops,4.00,PlayStation 3,5030917085802
821,22.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,5.00,FIFA 16,8.00,PlayStation 3,5030946112869
821,4.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,0.90,Gran Turismo 5,1.50,PlayStation 3,711719190059
821,0.75,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.10,FIFA 13,0.20,PlayStation 3,5030934109680
821,12.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,5.00,Minecraft,7.00,PlayStation 3,711719412915
821,20.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,9.00,Last Of Us,12.00,PlayStation 3,0711719274551
821,6.00,/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,2.00,Assassin's Creed III (3),3.00,PlayStation 3,3307215644867
821,15.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,6.00,Call Of Duty: Advanced Warfare,9.00,PlayStation 3,5030917147906
990,18.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,8.00,Minecraft,11.00,PlayStation Vita,711719438519
990,5.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.20,Invizimals - La Alianza,1.90,PlayStation Vita,711719287667
990,22.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,10.00,Call of Duty Black Ops- Declassified,14.00,PlayStation Vita,5030917114083
990,18.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,8.00,Uncharted: Golden Abyss,11.00,PlayStation Vita,711719200628
990,25.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,12.00,FIFA 15,16.00,PlayStation Vita,5035225113223
990,4.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,0.90,FIFA 13,1.50,PlayStation Vita,5030934109901
990,15.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,7.00,Need For Speed: Most Wanted 12,9.00,PlayStation Vita,5030934109192
990,15.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00,Assassin's Creed III (3): Liberation,9.00,PlayStation Vita,3307215652312
990,20.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,9.00,Final Fantasy X HD Only,13.00,PlayStation Vita,5021290057791
990,15.00,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,7.00,Assassins Creed Chronicles,9.00,PlayStation Vita,3307215916520
990,18.00,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,8.00,Resistance: Burning Skies,11.00,PlayStation Vita,711719200147
990,10.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,4.00,FIFA 14,6.00,PlayStation Vita,5030939111404
990,15.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,7.00,Gravity Rush,9.00,PlayStation Vita,711719241638
990,10.00,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,4.00,Little Big Planet,6.00,PlayStation Vita,711719236542
990,15.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,7.00,Lego Marvel Superheroes,9.00,PlayStation Vita,5051893143447
