categoria_str,categoria_id,sku,precio_compra,precio_intercambio,titulo,img_caratula,precio_venta
PlayStation 4,1001,5030917181733,15.00,22.00,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,35.00
PlayStation 4,1001,5026555417037,20.00,28.00,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,45.00
PlayStation 4,1001,711719825265,36.00,44.00,Horizon: Zero Dawn,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,65.00
PlayStation 4,1001,0711719454410,12.00,17.00,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,28.00
PlayStation 4,1001,5030937116388,22.00,31.00,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,50.00
PlayStation 4,1001,5030931112881,2.00,4.00,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,12.00
PlayStation 4,1001,5030917197185,12.00,17.00,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,28.00
PlayStation 4,1001,3307215913024,24.00,34.00,Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,55.00
PlayStation 4,1001,5030941113762,18.00,25.00,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,40.00
PlayStation 4,1001,3307215966730,15.00,22.00,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,35.00
PlayStation 4,1001,5055060900574,20.00,28.00,Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,45.00
PlayStation 4,1001,5026555421690,9.00,13.00,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00
PlayStation 4,1001,3307215938782,9.00,13.00,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00
PlayStation 4,1001,3307215893227,9.00,12.00,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00
PlayStation 4,1001,5030934121637,8.00,11.00,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,18.00
Nintendo 3DS,977,045496473464,16.00,22.00,Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,35.00
Nintendo 3DS,977,045496520830,10.00,14.00,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,22.00
Nintendo 3DS,977,045496526320,10.00,14.00,Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,22.00
Nintendo 3DS,977,045496524227,10.00,14.00,Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,22.00
Nintendo 3DS,977,0045496473358,18.00,24.00,Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,38.00
Nintendo 3DS,977,045496521233,14.00,19.00,Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,30.00
Nintendo 3DS,977,045496523848,15.00,20.00,Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,32.00
Nintendo 3DS,977,045496526313,13.00,18.00,Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,28.00
Nintendo 3DS,977,045496521301,14.00,19.00,Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,30.00
Nintendo 3DS,977,045496524333,12.00,16.00,Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,25.00
Nintendo 3DS,977,045496472313,15.00,20.00,Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,32.00
Nintendo 3DS,977,045496524531,9.00,13.00,Legend of Zelda: A Link Between Worlds,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,20.00
Nintendo 3DS,977,045496522582,14.00,19.00,New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,30.00
Nintendo 3DS,977,045496527075,9.00,13.00,Monster Hunter 4 Ultimate,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,20.00
Nintendo 3DS,977,045496474287,22.00,27.00,Super Mario Maker,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,40.00
Nintendo DS,834,5051892132480,3.00,4.00,Lego Legends Of Chima: Laval's Journey,/product_images/Juegos/DS Juegos/5051892132480_s.jpg,7.00
