sku,titulo,precio_intercambio,precio_compra,img_caratula,precio_venta,categoria_id,categoria_str
3307215913024,Ghost Recon: Wildlands (Sin DLC),46.00,38.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,68.00,1001,PlayStation 4
711719825265,Horizon: Zero Dawn,50.00,45.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,65.00,1001,PlayStation 4
5026555417037,Grand Theft Auto V (5),28.00,20.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,45.00,1001,PlayStation 4
5030917181733,Call Of Duty: Black Ops III,22.00,15.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,35.00,1001,PlayStation 4
5030917197185,Call Of Duty: Infinite Warfare,20.00,14.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,32.00,1001,PlayStation 4
0711719454410,Uncharted 4: El desenlace del ladrón,20.00,14.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,32.00,1001,PlayStation 4
5030937116388,FIFA 17,32.00,23.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,52.00,1001,PlayStation 4
5030931112881,FIFA 16,4.00,2.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,12.00,1001,PlayStation 4
3307215889121,Rainbow Six: Siege,25.00,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,40.00,1001,PlayStation 4
5026555421690,Mafia III,15.00,11.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,25.00,1001,PlayStation 4
3307215914946,For Honor (No DLC),36.00,26.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,58.00,1001,PlayStation 4
5055060900574,Resident Evil 7: Biohazard,34.00,24.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,55.00,1001,PlayStation 4
5030941113762,Battlefield 1,28.00,20.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,45.00,1001,PlayStation 4
3307215966730,Watch Dogs 2,24.00,17.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,38.00,1001,PlayStation 4
3307215893227,Assassin's Creed: Syndicate,12.00,9.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00,1001,PlayStation 4
0045496473358,Pokemon Sol,24.00,18.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,38.00,977,Nintendo 3DS
045496526313,Pokemon Rubi Omega,18.00,13.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,28.00,977,Nintendo 3DS
045496472313,Yo-Kai Watch,20.00,15.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,32.00,977,Nintendo 3DS
045496520830,Legend Of Zelda Ocarina Of Time 3D,14.00,10.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,22.00,977,Nintendo 3DS
045496524333,Pokemon Y,16.00,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,25.00,977,Nintendo 3DS
045496473464,Pokemon Luna,22.00,16.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,35.00,977,Nintendo 3DS
045496521301,Mario Kart 7,19.00,14.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,30.00,977,Nintendo 3DS
045496521233,Super Mario 3D Land,19.00,14.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,30.00,977,Nintendo 3DS
045496523848,Animal Crossing: New Leaf,20.00,15.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,32.00,977,Nintendo 3DS
045496524227,Pokemon X,14.00,10.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,22.00,977,Nintendo 3DS
0045496526283,Super Smash Bros.,19.00,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,30.00,977,Nintendo 3DS
045496524531,Legend of Zelda: A Link Between Worlds,13.00,9.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,20.00,977,Nintendo 3DS
045496526320,Pokemon: Zafiro Alfa,14.00,10.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,22.00,977,Nintendo 3DS
045496522582,New Super Mario Bros. 2,19.00,14.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,30.00,977,Nintendo 3DS
045496529703,Pokemon Mundo Megamisterioso,18.00,13.00,/product_images/Juegos/3DS Juegos/045496529703_s.jpg,28.00,977,Nintendo 3DS
045496463106,New Super Mario Bros.,12.00,9.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,20.00,834,Nintendo DS
045496462338,Mario Kart DS,9.00,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,15.00,834,Nintendo DS
045496462567,Brain Training,0.70,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,2.00,834,Nintendo DS
04549646,Pokemon Plata SoulSilver Sin Pokewalker,20.00,14.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,32.00,834,Nintendo DS
045496463595,Pokemon Mundo Misterioso Equipo Azul,6.00,4.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,10.00,834,Nintendo DS
045496464844,Pokemon Diamante,9.00,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,15.00,834,Nintendo DS
045496462543,Animal Crossing: Wild World,9.00,6.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,15.00,834,Nintendo DS
045496471118,Pokemon Edicion Blanca,9.00,6.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,15.00,834,Nintendo DS
045496462031,Super Mario 64 DS,12.00,9.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,20.00,834,Nintendo DS
045496464936,Pokemon Perla,7.00,5.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,12.00,834,Nintendo DS
045496462246,NintenDogs Labrador & Friends,1.30,0.80,/product_images/Juegos/DS Juegos/045496462246_s.jpg,3.50,834,Nintendo DS
045496464721,Mas Brain Training,0.90,0.60,/product_images/Juegos/DS Juegos/045496464721_s.jpg,2.50,834,Nintendo DS
045496465537,Pokemon Edicion Blanca 2,13.00,9.00,/product_images/Juegos/DS Juegos/045496465537_s.jpg,22.00,834,Nintendo DS
045496471644,Inazuma Eleven 2: Tormenta De Fuego,5.00,3.00,/product_images/Juegos/DS Juegos/045496471644_s.jpg,8.00,834,Nintendo DS
045496465896,Mario Party DS,7.00,5.00,/product_images/Juegos/DS Juegos/045496465896_s.jpg,12.00,834,Nintendo DS
3307210181862,Splinter Cell,0.10,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.50,830,PC
