categoria_id,precio_intercambio,sku,categoria_str,img_caratula,precio_venta,precio_compra,titulo
1001,35.00,5026555417037,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,55.00,26.00,Grand Theft Auto V (5)
1001,26.00,5030917181733,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,40.00,19.00,Call Of Duty: Black Ops III
1001,29.00,5030917197185,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,45.00,21.00,Call Of Duty: Infinite Warfare
1001,27.00,0711719454410,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,42.00,20.00,Uncharted 4: El desenlace del ladrón
1001,42.00,5030937116388,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,65.00,31.00,FIFA 17
1001,37.00,5030941113762,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,55.00,30.00,Battlefield 1
1001,6.00,5030931112881,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,18.00,4.00,FIFA 16
1001,40.00,3307215966730,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,60.00,33.00,Watch Dogs 2
1001,24.00,5026555421690,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,38.00,18.00,Mafia III
1001,34.00,5021290072985,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,50.00,28.00,Final Fantasy XV
1001,16.00,3307215804445,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,25.00,12.00,"Division, The"
1001,14.00,3307215732939,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,22.00,10.00,Watch Dogs
1001,22.00,3307215893227,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,35.00,16.00,Assassin's Creed: Syndicate
1001,24.00,3307215938782,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,38.00,18.00,Far Cry Primal
1001,30.00,711719838951,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,45.00,25.00,"Last Guardian, The"
977,30.00,0045496473358,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,42.00,26.00,Pokemon Sol
