categoria_id,titulo,precio_compra,img_caratula,sku,precio_intercambio,categoria_str,precio_venta
1001,Resident Evil 7: Biohazard,37.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,43.00,PlayStation 4,60.00
1001,Call Of Duty: Black Ops III,18.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,26.00,PlayStation 4,42.00
1001,Battlefield 1,24.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,34.00,PlayStation 4,55.00
1001,Grand Theft Auto V (5),22.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,31.00,PlayStation 4,50.00
1001,Call Of Duty: Infinite Warfare,15.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,22.00,PlayStation 4,35.00
1001,FIFA 17,27.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,37.00,PlayStation 4,60.00
1001,Mafia III,12.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,17.00,PlayStation 4,28.00
1001,Uncharted 4: El desenlace del ladrón,15.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,22.00,PlayStation 4,35.00
1001,FIFA 16,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,6.00,PlayStation 4,18.00
1001,Assassin's Creed: Syndicate,12.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,17.00,PlayStation 4,28.00
1001,Watch Dogs 2,20.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,28.00,PlayStation 4,45.00
1001,Assassin's Creed: Unity,11.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,15.00,PlayStation 4,25.00
1001,"Division, The",9.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,12.00,PlayStation 4,20.00
1001,Final Fantasy XV,18.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,26.00,PlayStation 4,42.00
1001,Destiny,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,4.00,PlayStation 4,12.00
977,Pokemon Sol,19.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,26.00,Nintendo 3DS,40.00
977,Pokemon Rubi Omega,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,16.00,Nintendo 3DS,25.00
977,Legend Of Zelda Ocarina Of Time 3D,9.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,13.00,Nintendo 3DS,20.00
977,Pokemon Luna,18.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,24.00,Nintendo 3DS,38.00
977,Pokemon Y,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,16.00,Nintendo 3DS,25.00
977,Super Mario Maker,18.00,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,045496474287,24.00,Nintendo 3DS,38.00
977,Pokemon X,12.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,16.00,Nintendo 3DS,25.00
977,Pokemon: Zafiro Alfa,10.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,14.00,Nintendo 3DS,22.00
977,Super Smash Bros.,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,19.00,Nintendo 3DS,30.00
977,Animal Crossing: New Leaf,14.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,19.00,Nintendo 3DS,30.00
977,Super Mario 3D Land,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,18.00,Nintendo 3DS,28.00
977,Yo-Kai Watch,14.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,045496472313,19.00,Nintendo 3DS,30.00
977,Mario Kart 7,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,18.00,Nintendo 3DS,28.00
977,New Super Mario Bros. 2,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,18.00,Nintendo 3DS,28.00
977,Monster Hunter 4 Ultimate,10.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,045496527075,14.00,Nintendo 3DS,22.00
834,New Super Mario Bros.,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106,11.00,Nintendo DS,18.00
834,Pokemon Diamante,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844,9.00,Nintendo DS,15.00
834,Brain Training,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,045496462567,0.70,Nintendo DS,2.00
834,Mario Kart DS,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338,9.00,Nintendo DS,15.00
834,Pokemon Edicion Blanca,6.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,045496471118,9.00,Nintendo DS,15.00
834,Animal Crossing: Wild World,5.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543,7.00,Nintendo DS,12.00
834,Pokemon Oro HeartGold Sin Pokewalker,14.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,045496469641,20.00,Nintendo DS,32.00
834,Pokemon Perla,6.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,045496464936,9.00,Nintendo DS,15.00
834,NintenDogs Labrador & Friends,0.80,/product_images/Juegos/DS Juegos/045496462246_s.jpg,045496462246,1.30,Nintendo DS,3.50
834,Pokemon Edicion Negra,6.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,045496471057,9.00,Nintendo DS,15.00
834,Pokemon Plata SoulSilver Sin Pokewalker,15.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,04549646,22.00,Nintendo DS,35.00
834,Pokemon Mundo Misterioso Equipo Azul,5.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,045496463595,7.00,Nintendo DS,12.00
834,Super Mario 64 DS,8.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,045496462031,11.00,Nintendo DS,18.00
834,Pokemon Edicion Negra 2,11.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,045496462857,15.00,Nintendo DS,25.00
834,Art Academy,0.60,/product_images/Juegos/DS Juegos/045496470210_s.jpg,045496470210,0.90,Nintendo DS,2.50
830,"Whispered World, The - Edición Especial",0.40,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,0.70,PC,2.00
830,Need For Speed: Porsche 2000,0.10,/product_images/defimg3_s.jpg,8431474003723,0.20,PC,0.75
830,Splinter Cell,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,0.01,PC,0.25
830,Torrente El Juego,0.01,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,8436010150527,0.01,PC,0.10
830,Caos En Deponia,0.10,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,8436010154587,0.20,PC,0.75
830,"Fuga De Deponia, La",0.10,/product_images/Juegos/PC Juegos/8436010154037_s.jpg,8436010154037,0.20,PC,0.75
830,Splinter Cell Chaos Theory,0.01,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,3307210220134,0.10,PC,0.50
830,Warhammer 40000 - Armageddon (SN),0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,0.30,PC,1.00
830,Los Sims 2 (SN),2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,4.00,PC,12.00
830,Imperium II,0.20,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,8436010150572,0.40,PC,1.50
830,"Longest Journey, The (4 Discs)",0.01,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,8420266991255,0.01,PC,0.25
830,Imperium,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,8436010150275,0.40,PC,1.50
830,Duck Tales Remastered,0.10,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,5055060972328,0.20,PC,0.75
830,Blackguards,0.10,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,8436016710787,0.30,PC,1.00
830,Yesterday Origins (P),2.00,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,3760156481111,4.00,PC,12.00
821,Grand Theft Auto V (5),8.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,11.00,PlayStation 3,18.00
821,Call Of Duty: Black Ops II,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,5.00,PlayStation 3,15.00
821,Call Of Duty: Modern Warfare 3,1.80,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,2.00,PlayStation 3,4.00
821,Grand Theft Auto IV,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,3.00,PlayStation 3,5.00
821,Call Of Duty: Ghosts,1.80,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,2.00,PlayStation 3,4.00
821,Call Of Duty: Black Ops,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,4.00,PlayStation 3,7.00
821,Call of Duty: Modern Warfare 2,1.80,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,5030917070990,2.00,PlayStation 3,4.00
821,FIFA 15,1.90,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,3.00,PlayStation 3,8.00
821,Call Of Duty: Advanced Warfare,5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,7.00,PlayStation 3,12.00
821,Uncharted 3: Traicion de Drake,4.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,711719123996,6.00,PlayStation 3,10.00
821,FIFA 14,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,5030933111103,0.60,PlayStation 3,2.00
821,FIFA 13,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,5030934109680,0.01,PlayStation 3,0.25
821,Gran Turismo 5,1.40,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,2.00,PlayStation 3,6.00
821,FIFA 16,5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,5030946112869,8.00,PlayStation 3,22.00
821,Far Cry 4,6.00,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,3307215793299,9.00,PlayStation 3,15.00
990,Assassin's Creed III (3): Liberation,5.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,7.00,PlayStation Vita,12.00
990,Uncharted: Golden Abyss,7.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,9.00,PlayStation Vita,15.00
990,XBlaze Code : Embryo,2.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,5055377602314,3.00,PlayStation Vita,5.00
990,Call of Duty Black Ops- Declassified,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,14.00,PlayStation Vita,22.00
990,Fate/Extella: The Umbral Star,16.00,/product_images/defimg3_s.jpg,635131948381,22.00,PlayStation Vita,35.00
990,Minecraft,9.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,13.00,PlayStation Vita,20.00
990,Gravity Rush,8.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,711719241638,11.00,PlayStation Vita,18.00
990,Killzone Mercenary,7.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,9.00,PlayStation Vita,15.00
990,Resistance: Burning Skies,7.00,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,711719200147,9.00,PlayStation Vita,15.00
990,FIFA 14,3.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,5.00,PlayStation Vita,8.00
990,Disney Infinity 2.0 Marvel Superheroes Starter  Pack,3.00,/product_images/Juegos/PS Vita Juegos/8717418455200_s.jpg,8717418455200,4.00,PlayStation Vita,7.00
990,FIFA 13,1.20,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,1.90,PlayStation Vita,5.00
990,Need For Speed: Most Wanted 12,8.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,11.00,PlayStation Vita,18.00
990,Virtua Tennis 4: Edicion World Tour,7.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5055277016259,9.00,PlayStation Vita,15.00
990,Invizimals - La Alianza,1.40,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,2.00,PlayStation Vita,6.00
862,Assassin's Creed: Bloodlines,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,1.80,PSP,5.00
862,Grand Theft Auto Vice City Stories,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,1.80,PSP,5.00
862,Invizimals (Solo Juego),0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,711719142058,0.10,PSP,0.50
862,Invizimals La Otra Dimension (Solo Juego,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,0.10,PSP,0.50
862,Gran Turismo,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,0.90,PSP,3.00
862,Grand Theft Auto: Liberty City Stories,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,1.80,PSP,5.00
862,God of War: Chains of Olympus,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,0.90,PSP,3.00
862,Daxter,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,711719646266,0.90,PSP,3.00
862,Grand Theft Auto: China Town Wars,0.40,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,5026555282338,0.90,PSP,3.00
862,Play Chapas,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,711719738657,0.10,PSP,0.50
862,Invizimals: Las tribus perdidas,0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,8414646244995,0.10,PSP,0.50
862,Los Sims 2,0.20,/product_images/Juegos/PSP Juegos/5030934046206_s.jpg,5030934046206,0.40,PSP,1.50
862,Medievil: Resurreccion,0.40,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,711719678250,0.90,PSP,3.00
862,Tekken Dark Resurrection,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,711719660071,0.90,PSP,3.00
862,God of War: Ghost of Sparta,1.20,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,711719168171,2.00,PSP,6.00
831,Mario Kart Wii (Solo Juego),8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,11.00,Wii,18.00
