titulo,precio_venta,img_caratula,sku,precio_intercambio,categoria_id,categoria_str,precio_compra
Resident Evil 7: Biohazard,60.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,46.00,1001,PlayStation 4,42.00
Call Of Duty: Black Ops III,42.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,27.00,1001,PlayStation 4,20.00
Grand Theft Auto V (5),58.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,37.00,1001,PlayStation 4,27.00
Call Of Duty: Infinite Warfare,42.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,27.00,1001,PlayStation 4,20.00
Battlefield 1,58.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,39.00,1001,PlayStation 4,32.00
Uncharted 4: El desenlace del ladrón,40.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,26.00,1001,PlayStation 4,19.00
FIFA 17,65.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,42.00,1001,PlayStation 4,31.00
Mafia III,35.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,22.00,1001,PlayStation 4,16.00
Destiny,15.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,9.00,1001,PlayStation 4,7.00
"Division, The",25.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,16.00,1001,PlayStation 4,12.00
FIFA 16,18.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,6.00,1001,PlayStation 4,4.00
Watch Dogs 2,55.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,35.00,1001,PlayStation 4,26.00
Watch Dogs,20.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,13.00,1001,PlayStation 4,9.00
Metal Gear Solid V: The Phantom Pain,22.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,14.00,1001,PlayStation 4,10.00
Final Fantasy XV,48.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,31.00,1001,PlayStation 4,23.00
Pokemon Luna,42.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,30.00,977,Nintendo 3DS,26.00
Pokemon Sol,42.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,30.00,977,Nintendo 3DS,26.00
Pokemon Rubi Omega,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,16.00,977,Nintendo 3DS,12.00
Super Mario 3D Land,28.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,18.00,977,Nintendo 3DS,13.00
Pokemon: Zafiro Alfa,28.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,18.00,977,Nintendo 3DS,13.00
New Super Mario Bros. 2,28.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,18.00,977,Nintendo 3DS,13.00
Pokemon Y,28.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,18.00,977,Nintendo 3DS,13.00
Legend Of Zelda Ocarina Of Time 3D,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,13.00,977,Nintendo 3DS,9.00
Mario Kart 7,28.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,18.00,977,Nintendo 3DS,13.00
Pokemon X,28.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,18.00,977,Nintendo 3DS,13.00
