precio_compra,categoria_id,sku,precio_intercambio,categoria_str,precio_venta,img_caratula,titulo
18.00,1001,5030917181733,26.00,PlayStation 4,42.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III
45.00,1001,3307215914946,50.00,PlayStation 4,65.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,For Honor (No DLC)
15.00,1001,0711719454410,22.00,PlayStation 4,35.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón
22.00,1001,5026555417037,31.00,PlayStation 4,50.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5)
15.00,1001,5030917197185,22.00,PlayStation 4,35.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare
27.00,1001,5030937116388,37.00,PlayStation 4,60.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17
37.00,1001,5055060900574,43.00,PlayStation 4,60.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard
12.00,1001,5026555421690,17.00,PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III
4.00,1001,5030931112881,6.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16
9.00,1001,3307215804445,12.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The"
20.00,1001,3307215966730,28.00,PlayStation 4,45.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2
24.00,1001,5030941113762,34.00,PlayStation 4,55.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1
45.00,1001,711719817963,50.00,PlayStation 4,65.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,Nioh
11.00,1001,5030934121637,15.00,PlayStation 4,25.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront
12.00,1001,3307215893227,17.00,PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate
18.00,977,045496473464,24.00,Nintendo 3DS,38.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna
9.00,977,045496520830,13.00,Nintendo 3DS,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D
12.00,977,045496524333,16.00,Nintendo 3DS,25.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y
19.00,977,0045496473358,26.00,Nintendo 3DS,40.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol
10.00,977,045496526320,14.00,Nintendo 3DS,22.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa
12.00,977,045496526313,16.00,Nintendo 3DS,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega
12.00,977,045496524227,16.00,Nintendo 3DS,25.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X
