precio_venta,categoria_str,precio_compra,precio_intercambio,titulo,img_caratula,sku,categoria_id
60.00,PlayStation 4,42.00,46.00,Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,1001
50.00,PlayStation 4,22.00,31.00,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,1001
42.00,PlayStation 4,18.00,26.00,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,1001
42.00,PlayStation 4,18.00,26.00,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,1001
58.00,PlayStation 4,32.00,39.00,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,1001
60.00,PlayStation 4,27.00,37.00,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,1001
40.00,PlayStation 4,18.00,25.00,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,1001
18.00,PlayStation 4,4.00,6.00,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,1001
25.00,PlayStation 4,11.00,15.00,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,1001
35.00,PlayStation 4,15.00,22.00,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,1001
20.00,PlayStation 4,9.00,12.00,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,1001
55.00,PlayStation 4,24.00,34.00,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,1001
35.00,PlayStation 4,15.00,22.00,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,3307215938782,1001
32.00,PlayStation 4,14.00,20.00,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637,1001
12.00,PlayStation 4,5.00,7.00,Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,711719275473,1001
42.00,Nintendo 3DS,26.00,30.00,Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,977
25.00,Nintendo 3DS,12.00,16.00,Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,977
42.00,Nintendo 3DS,26.00,30.00,Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,977
28.00,Nintendo 3DS,13.00,18.00,Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,977
20.00,Nintendo 3DS,9.00,13.00,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,977
28.00,Nintendo 3DS,13.00,18.00,Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,977
28.00,Nintendo 3DS,13.00,18.00,Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,977
28.00,Nintendo 3DS,13.00,18.00,Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,977
30.00,Nintendo 3DS,14.00,19.00,Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,977
45.00,Nintendo 3DS,31.00,35.00,Super Mario Maker,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,045496474287,977
28.00,Nintendo 3DS,13.00,18.00,New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,977
28.00,Nintendo 3DS,13.00,18.00,Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,977
30.00,Nintendo 3DS,14.00,19.00,Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,977
20.00,Nintendo 3DS,9.00,13.00,Legend of Zelda: A Link Between Worlds,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,045496524531,977
32.00,Nintendo 3DS,15.00,20.00,Monster Hunter Generations,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,0045496473242,977
18.00,Nintendo DS,8.00,11.00,New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106,834
15.00,Nintendo DS,6.00,9.00,Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338,834
12.00,Nintendo DS,5.00,7.00,Animal Crossing: Wild World,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543,834
15.00,Nintendo DS,6.00,9.00,Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,045496471118,834
2.00,Nintendo DS,0.40,0.70,Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,045496462567,834
15.00,Nintendo DS,6.00,9.00,Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844,834
3.50,Nintendo DS,0.80,1.30,NintenDogs Labrador & Friends,/product_images/Juegos/DS Juegos/045496462246_s.jpg,045496462246,834
12.00,Nintendo DS,5.00,7.00,Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,045496463595,834
18.00,Nintendo DS,8.00,11.00,Super Mario 64 DS,/product_images/Juegos/DS Juegos/045496462031_s.jpg,045496462031,834
25.00,Nintendo DS,11.00,15.00,Pokemon Edicion Negra 2,/product_images/Juegos/DS Juegos/045496462857_s.jpg,045496462857,834
32.00,Nintendo DS,14.00,20.00,Pokemon Oro HeartGold Sin Pokewalker,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,045496469641,834
15.00,Nintendo DS,6.00,9.00,Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,045496471057,834
15.00,Nintendo DS,6.00,9.00,Legend of Zelda: Phantom Hourglass,/product_images/Juegos/DS Juegos/045496465377_s.jpg,045496465377,834
6.00,Nintendo DS,2.00,3.00,NintenDogs Dachshund & Friends,/product_images/Juegos/DS Juegos/045496462239_s.jpg,045496462239,834
2.50,Nintendo DS,0.30,0.70,Big Brain Academy,/product_images/Juegos/DS Juegos/045496463052_s.jpg,045496463052,834
15.00,PC,3.00,5.00,Moto Racer 4 (P),/product_images/Juegos/PC Juegos/3760156480831_s.jpg,3760156480831,830
12.00,PC,2.00,4.00,Yesterday Origins (P),/product_images/Juegos/PC Juegos/3760156481111_s.jpg,3760156481111,830
0.75,PC,0.10,0.20,Duck Tales Remastered,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,5055060972328,830
1.00,PC,0.10,0.30,Stasis,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,8414606866977,830
2.00,PC,0.40,0.70,"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,830
1.00,PC,0.10,0.30,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,830
1.50,PC,0.20,0.40,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,8436010150572,830
12.00,PC,2.00,4.00,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,830
3.50,PC,0.50,1.00,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,830
1.50,PC,0.20,0.40,Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,8436010150275,830
0.10,PC,0.01,0.01,Los Sims Animales A Raudales (SN) (2 CDS),/product_images/Juegos/PC Juegos/8414185050873_s.jpg,8414185050873,830
0.15,PC,0.01,0.01,Crookz: The Big Heist (P),/product_images/Juegos/PC Juegos/4260089416710_s.jpg,4260089416710,830
0.50,PC,0.01,0.10,Lords Of Xulima,/product_images/Juegos/PC Juegos/4020636128615_s.jpg,4020636128615,830
0.75,PC,0.10,0.20,Caos En Deponia,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,8436010154587,830
0.25,PC,0.01,0.01,Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,830
15.00,PlayStation 3,6.00,9.00,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,821
5.00,PlayStation 3,2.00,3.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,821
12.00,PlayStation 3,2.00,4.00,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,821
7.00,PlayStation 3,1.60,2.00,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,821
5.00,PlayStation 3,2.00,3.00,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,821
7.00,PlayStation 3,3.00,4.00,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,821
2.00,PlayStation 3,0.30,0.60,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,5030933111103,821
5.00,PlayStation 3,1.20,1.90,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,821
25.00,PlayStation 3,11.00,15.00,Call Of Duty: Black Ops III,/product_images/Juegos/PS3 Juegos/5030917162459_s.jpg,5030917162459,821
12.00,PlayStation 3,5.00,7.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,821
0.50,PlayStation 3,0.01,0.10,FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,5030934109680,821
8.00,PlayStation 3,3.00,5.00,Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,711719123996,821
6.00,PlayStation 3,2.00,3.00,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,821
8.00,PlayStation 3,3.00,5.00,Uncharted: El Tesoro de Drake,/product_images/Juegos/PS3 Juegos/711719467359_s.jpg,711719467359,821
20.00,PlayStation 3,9.00,12.00,Last Of Us,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,0711719274551,821
20.00,PlayStation Vita,9.00,13.00,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,990
7.00,PlayStation Vita,3.00,4.00,Space Hulk,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,5055377602352,990
15.00,PlayStation Vita,7.00,9.00,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,990
22.00,PlayStation Vita,10.00,14.00,Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,990
5.00,PlayStation Vita,1.20,1.90,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,990
12.00,PlayStation Vita,5.00,7.00,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,990
6.00,PlayStation Vita,1.40,2.00,Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,990
18.00,PlayStation Vita,8.00,11.00,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,990
5.00,PlayStation Vita,2.00,3.00,XBlaze Code : Embryo,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,5055377602314,990
28.00,PlayStation Vita,13.00,18.00,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,5035225113223,990
6.00,PlayStation Vita,1.40,2.00,FIFA Football,/product_images/Juegos/PS Vita Juegos/5030934105927_s.jpg,5030934105927,990
22.00,PlayStation Vita,10.00,14.00,God Of War Collection,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,711719279488,990
15.00,PlayStation Vita,7.00,9.00,Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,990
8.00,PlayStation Vita,3.00,5.00,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,990
15.00,PlayStation Vita,7.00,9.00,Virtua Tennis 4: Edicion World Tour,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5055277016259,990
5.00,PSP,1.00,1.80,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,862
0.50,PSP,0.01,0.10,Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,862
3.00,PSP,0.40,0.90,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,862
5.00,PSP,1.00,1.80,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,862
0.50,PSP,0.01,0.10,Invizimals (Solo Juego),/product_images/Juegos/PSP Juegos/711719142058_s.jpg,711719142058,862
4.50,PSP,0.90,1.60,Los Simpson - El Videojuego,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,5030934059435,862
3.00,PSP,0.40,0.90,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,862
