sku,precio_intercambio,categoria_str,precio_venta,precio_compra,img_caratula,titulo,categoria_id
5030917181733,26.00,PlayStation 4,40.00,19.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,1001
0711719454410,27.00,PlayStation 4,42.00,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,1001
5030917197185,29.00,PlayStation 4,45.00,21.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,1001
5026555417037,35.00,PlayStation 4,55.00,26.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),1001
5030931112881,6.00,PlayStation 4,18.00,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,1001
5030937116388,42.00,PlayStation 4,65.00,31.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,1001
3307215966730,40.00,PlayStation 4,60.00,33.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,1001
5030941113762,37.00,PlayStation 4,55.00,30.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,1001
5026555421690,24.00,PlayStation 4,38.00,18.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,1001
5021290072985,34.00,PlayStation 4,50.00,28.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,1001
3307215804445,16.00,PlayStation 4,25.00,12.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",1001
3307215732939,14.00,PlayStation 4,22.00,10.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,1001
3307215893227,22.00,PlayStation 4,35.00,16.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,1001
3307215938782,24.00,PlayStation 4,38.00,18.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,1001
5030934121637,19.00,PlayStation 4,30.00,14.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,1001
0045496473358,30.00,Nintendo 3DS,42.00,26.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,977
045496473464,30.00,Nintendo 3DS,42.00,26.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,977
045496520830,16.00,Nintendo 3DS,25.00,12.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,977
045496524333,18.00,Nintendo 3DS,28.00,13.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,977
045496526320,18.00,Nintendo 3DS,28.00,13.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,977
045496526313,16.00,Nintendo 3DS,25.00,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,977
0045496526283,19.00,Nintendo 3DS,30.00,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,977
045496521301,18.00,Nintendo 3DS,28.00,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,977
045496521233,18.00,Nintendo 3DS,28.00,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,977
045496522582,18.00,Nintendo 3DS,28.00,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,977
045496472313,23.00,Nintendo 3DS,35.00,19.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,977
045496524227,18.00,Nintendo 3DS,28.00,13.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,977
045496527518,13.00,Nintendo 3DS,20.00,9.00,/product_images/Juegos/3DS Juegos/045496527518_s.jpg,Inazuma Eleven Go Chrono Stones: Llamarada,977
045496527075,14.00,Nintendo 3DS,22.00,10.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,977
045496529703,19.00,Nintendo 3DS,30.00,14.00,/product_images/Juegos/3DS Juegos/045496529703_s.jpg,Pokemon Mundo Megamisterioso,977
045496463106,11.00,Nintendo DS,18.00,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,834
045496462338,7.00,Nintendo DS,12.00,5.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,834
