titulo,precio_compra,sku,precio_intercambio,img_caratula,precio_venta,categoria_id,categoria_str
Horizon: Zero Dawn,45.00,711719825265,50.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,65.00,1001,PlayStation 4
Call Of Duty: Infinite Warfare,13.00,5030917197185,18.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,30.00,1001,PlayStation 4
Uncharted 4: El desenlace del ladrón,14.00,0711719454410,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,32.00,1001,PlayStation 4
Call Of Duty: Black Ops III,17.00,5030917181733,24.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,38.00,1001,PlayStation 4
Grand Theft Auto V (5),20.00,5026555417037,28.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,45.00,1001,PlayStation 4
Ghost Recon: Wildlands (Sin DLC),49.00,3307215913024,54.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,70.00,1001,PlayStation 4
Mafia III,11.00,5026555421690,15.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,25.00,1001,PlayStation 4
"Division, The",8.00,3307215804445,11.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,18.00,1001,PlayStation 4
FIFA 17,24.00,5030937116388,34.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,55.00,1001,PlayStation 4
FIFA 16,3.00,5030931112881,5.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,15.00,1001,PlayStation 4
Resident Evil 7: Biohazard,32.00,5055060900574,39.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,58.00,1001,PlayStation 4
Battlefield 1,22.00,5030941113762,31.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,50.00,1001,PlayStation 4
For Honor (No DLC),34.00,3307215914946,42.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,62.00,1001,PlayStation 4
Watch Dogs 2,18.00,3307215966730,25.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,40.00,1001,PlayStation 4
Assassin's Creed: Syndicate,9.00,3307215893227,13.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,22.00,1001,PlayStation 4
Pokemon Sol,18.00,0045496473358,24.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,38.00,977,Nintendo 3DS
Legend Of Zelda Ocarina Of Time 3D,9.00,045496520830,13.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,20.00,977,Nintendo 3DS
Pokemon Y,10.00,045496524333,14.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,22.00,977,Nintendo 3DS
Pokemon Rubi Omega,12.00,045496526313,16.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,25.00,977,Nintendo 3DS
Pokemon: Zafiro Alfa,12.00,045496526320,16.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,25.00,977,Nintendo 3DS
Pokemon Luna,18.00,045496473464,24.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,38.00,977,Nintendo 3DS
Super Mario 3D Land,13.00,045496521233,18.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,28.00,977,Nintendo 3DS
Mario Kart 7,14.00,045496521301,19.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,30.00,977,Nintendo 3DS
Pokemon X,13.00,045496524227,18.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,28.00,977,Nintendo 3DS
New Super Mario Bros. 2,14.00,045496522582,19.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,30.00,977,Nintendo 3DS
Animal Crossing: New Leaf,14.00,045496523848,19.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,30.00,977,Nintendo 3DS
Super Smash Bros.,14.00,0045496526283,19.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,30.00,977,Nintendo 3DS
Yo-Kai Watch,14.00,045496472313,19.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,30.00,977,Nintendo 3DS
Monster Hunter 4 Ultimate,9.00,045496527075,13.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,20.00,977,Nintendo 3DS
Legend of Zelda Majora's Mask,15.00,045496527297,20.00,/product_images/Juegos/3DS Juegos/045496527297_s.jpg,32.00,977,Nintendo 3DS
New Super Mario Bros.,9.00,045496463106,12.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,20.00,834,Nintendo DS
Mario Kart DS,6.00,045496462338,9.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,15.00,834,Nintendo DS
Animal Crossing: Wild World,6.00,045496462543,9.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,15.00,834,Nintendo DS
Pokemon Edicion Blanca,6.00,045496471118,9.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,15.00,834,Nintendo DS
Pokemon Edicion Negra 2,9.00,045496462857,13.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,22.00,834,Nintendo DS
Brain Training,0.40,045496462567,0.70,/product_images/Juegos/DS Juegos/045496462567_s.jpg,2.00,834,Nintendo DS
Pokemon Diamante,6.00,045496464844,9.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,15.00,834,Nintendo DS
Pokemon Perla,5.00,045496464936,7.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,12.00,834,Nintendo DS
Pokemon Mundo Misterioso Equipo Azul,4.00,045496463595,6.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,10.00,834,Nintendo DS
Pokemon Oro HeartGold Sin Pokewalker,13.00,045496469641,18.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,30.00,834,Nintendo DS
NintenDogs Labrador & Friends,0.80,045496462246,1.30,/product_images/Juegos/DS Juegos/045496462246_s.jpg,3.50,834,Nintendo DS
Pokemon Edicion Blanca 2,9.00,045496465537,13.00,/product_images/Juegos/DS Juegos/045496465537_s.jpg,22.00,834,Nintendo DS
Super Mario 64 DS,9.00,045496462031,12.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,20.00,834,Nintendo DS
Pokemon Edicion Negra,8.00,045496471057,11.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,18.00,834,Nintendo DS
Legend of Zelda: Phantom Hourglass,8.00,045496465377,11.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,18.00,834,Nintendo DS
Moto Racer 4 (P),1.60,3760156480831,2.00,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,8.00,830,PC
Warhammer 40000 - Armageddon (SN),0.10,5060193302294,0.30,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00,830,PC
Los Sims 2 (SN),2.00,8414185051528,3.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00,830,PC
Los Sims 2 Mascotas Expansion (SN),0.30,8414185032879,0.60,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,2.00,830,PC
House Of The Dead 2,0.01,8436010150541,0.10,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,0.50,830,PC
Imperium III,0.30,8436010150671,0.70,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,2.50,830,PC
Splinter Cell Chaos Theory,0.01,3307210220134,0.10,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.50,830,PC
Imperium II,0.30,8436010150572,0.60,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,2.00,830,PC
Crookz: The Big Heist (P),0.01,4260089416710,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.15,830,PC
Imperium,0.20,8436010150275,0.40,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50,830,PC
"Whispered World, The - Edición Especial",0.50,8436016710770,0.90,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.50,830,PC
Colin McRae Rally 2,0.10,843601015054100001,0.20,/product_images/Juegos/PC Juegos/843601015054100001_s.jpg,0.75,830,PC
Call of Duty 2,0.60,5030917031922,1.20,/product_images/Juegos/PC Juegos/5030917031922_s.jpg,4.00,830,PC
Splinter Cell,0.01,3307210181862,0.10,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.50,830,PC
Grand Theft Auto V (5),8.00,5026555410267,11.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,18.00,821,PlayStation 3
Call Of Duty: Modern Warfare 3,1.80,5030917096808,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,4.00,821,PlayStation 3
Call Of Duty: Black Ops,3.00,5030917085802,4.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,7.00,821,PlayStation 3
Call Of Duty: Black Ops II,3.00,5030917111761,5.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,15.00,821,PlayStation 3
Call Of Duty: Ghosts,1.80,5030917126116,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,4.00,821,PlayStation 3
Call Of Duty: Advanced Warfare,5.00,5030917147906,7.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,12.00,821,PlayStation 3
Grand Theft Auto IV,2.00,5026555400251,3.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5.00,821,PlayStation 3
Call of Duty: Modern Warfare 2,1.80,5030917070990,2.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,4.00,821,PlayStation 3
FIFA 14,0.30,5030933111103,0.60,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00,821,PlayStation 3
Last Of Us,9.00,0711719274551,13.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,22.00,821,PlayStation 3
FIFA 15,1.90,5030937112373,3.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,8.00,821,PlayStation 3
Uncharted 3: Traicion de Drake,4.00,711719123996,6.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,10.00,821,PlayStation 3
Gran Turismo 5,1.40,711719190059,2.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,6.00,821,PlayStation 3
Minecraft,6.00,711719412915,9.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,15.00,821,PlayStation 3
FIFA 13,0.01,5030934109680,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.25,821,PlayStation 3
Minecraft,7.00,711719438519,9.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,15.00,990,PlayStation Vita
Call of Duty Black Ops- Declassified,10.00,5030917114083,14.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,22.00,990,PlayStation Vita
Uncharted: Golden Abyss,9.00,711719200628,13.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,20.00,990,PlayStation Vita
Assassin's Creed III (3): Liberation,7.00,3307215652312,9.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,15.00,990,PlayStation Vita
FIFA 15,10.00,5035225113223,14.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,22.00,990,PlayStation Vita
Invizimals - La Alianza,1.40,711719287667,2.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,6.00,990,PlayStation Vita
FIFA 13,1.40,5030934109901,2.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,6.00,990,PlayStation Vita
Jak And Daxter Trilogy,9.00,711719236467,13.00,/product_images/Juegos/PS Vita Juegos/711719236467_s.jpg,20.00,990,PlayStation Vita
Killzone Mercenary,9.00,711719251163,13.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,20.00,990,PlayStation Vita
Need For Speed: Most Wanted 12,7.00,5030934109192,9.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00,990,PlayStation Vita
Soul Sacrifice,5.00,711719292852,7.00,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,12.00,990,PlayStation Vita
Resistance: Burning Skies,7.00,711719200147,9.00,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,15.00,990,PlayStation Vita
Gravity Rush,8.00,711719241638,11.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,18.00,990,PlayStation Vita
Metal Gear Solid Hd Colección,9.00,4012927066065,13.00,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,20.00,990,PlayStation Vita
Space Hulk,2.00,5055377602352,3.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,6.00,990,PlayStation Vita
Grand Theft Auto Vice City Stories,0.80,5026555280785,1.40,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,4.00,862,PSP
Grand Theft Auto: Liberty City Stories,0.80,5026555280143,1.40,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,4.00,862,PSP
Invizimals La Otra Dimension (Solo Juego,0.01,711719169772,0.10,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.50,862,PSP
Assassin's Creed: Bloodlines,0.80,3307211667679,1.40,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,4.00,862,PSP
God of War: Chains of Olympus,0.40,711719908128,0.90,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00,862,PSP
Tekken Dark Resurrection,0.40,711719660071,0.90,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,3.00,862,PSP
Daxter,0.40,711719646266,0.90,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00,862,PSP
Invizimals: Las tribus perdidas,0.01,8414646244995,0.10,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.50,862,PSP
Gran Turismo,0.40,711719151159,0.90,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00,862,PSP
Pro Evolution Soccer 2012,0.20,4012927065174,0.40,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,1.50,862,PSP
Lord Of Arcana: Slayer Edition,0.40,5021290046405,0.90,/product_images/Juegos/PSP Juegos/5021290046405_s.jpg,3.00,862,PSP
Invizimals (Solo Juego),0.01,711719142058,0.10,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.50,862,PSP
Dragon Ball Z Shin Budokai 2,0.40,3296580803354,0.90,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,3.00,862,PSP
Pro Evolution Soccer 2009,0.01,4012927063354,0.10,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,0.50,862,PSP
Play Chapas,0.01,711719738657,0.10,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50,862,PSP
New Super Mario Bros. Wii,8.00,045496368098,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,18.00,831,Wii
Mario Kart Wii (Solo Juego),8.00,045496365202,11.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00,831,Wii
Wii Sports Resort (Solo Juego),4.00,045496367473,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,10.00,831,Wii
Wii Play (solo juego),1.80,045496362201,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,4.00,831,Wii
Super Mario Galaxy,6.00,045496363932,9.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00,831,Wii
Wii Sports (Solo Juego),2.00,045496362102,3.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,5.00,831,Wii
Legend of Zelda: Twilight Princess,6.00,045496362393,9.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,15.00,831,Wii
Super Mario Galaxy 2,9.00,045496368869,12.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,20.00,831,Wii
Super Smash Bros. Brawl,6.00,045496365899,9.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00,831,Wii
Legend of Zelda: Skyward Sword,9.00,045496400736,13.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,22.00,831,Wii
