titulo,precio_intercambio,precio_venta,img_caratula,sku,categoria_str,categoria_id,precio_compra
Horizon: Zero Dawn,50.00,65.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,711719825265,PlayStation 4,1001,45.00
Call Of Duty: Infinite Warfare,18.00,30.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,PlayStation 4,1001,13.00
Grand Theft Auto V (5),28.00,45.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,PlayStation 4,1001,20.00
Call Of Duty: Black Ops III,24.00,38.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,PlayStation 4,1001,17.00
Uncharted 4: El desenlace del ladrón,20.00,32.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,PlayStation 4,1001,14.00
"Division, The",11.00,18.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,PlayStation 4,1001,8.00
FIFA 17,34.00,55.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,PlayStation 4,1001,24.00
Mafia III,15.00,25.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,PlayStation 4,1001,11.00
FIFA 16,5.00,15.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,PlayStation 4,1001,3.00
Resident Evil 7: Biohazard,39.00,58.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,PlayStation 4,1001,32.00
For Honor (No DLC),42.00,62.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,3307215914946,PlayStation 4,1001,34.00
Watch Dogs 2,25.00,40.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,PlayStation 4,1001,18.00
Battlefield 1,31.00,50.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,PlayStation 4,1001,22.00
Watch Dogs,7.00,12.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,PlayStation 4,1001,5.00
Final Fantasy XV,24.00,38.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,PlayStation 4,1001,17.00
Legend Of Zelda Ocarina Of Time 3D,13.00,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,Nintendo 3DS,977,9.00
Pokemon Sol,24.00,38.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,Nintendo 3DS,977,18.00
Pokemon Rubi Omega,16.00,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,Nintendo 3DS,977,12.00
Pokemon: Zafiro Alfa,16.00,25.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,Nintendo 3DS,977,12.00
Pokemon Y,14.00,22.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,Nintendo 3DS,977,10.00
Pokemon Luna,24.00,38.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,Nintendo 3DS,977,18.00
Pokemon X,18.00,28.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,Nintendo 3DS,977,13.00
Super Mario 3D Land,18.00,28.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,Nintendo 3DS,977,13.00
Mario Kart 7,19.00,30.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,Nintendo 3DS,977,14.00
New Super Mario Bros. 2,19.00,30.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,Nintendo 3DS,977,14.00
Super Smash Bros.,19.00,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,Nintendo 3DS,977,14.00
Animal Crossing: New Leaf,19.00,30.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,Nintendo 3DS,977,14.00
Monster Hunter 4 Ultimate,13.00,20.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,045496527075,Nintendo 3DS,977,9.00
Yo-Kai Watch,19.00,30.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,045496472313,Nintendo 3DS,977,14.00
Legend of Zelda Majora's Mask,20.00,32.00,/product_images/Juegos/3DS Juegos/045496527297_s.jpg,045496527297,Nintendo 3DS,977,15.00
New Super Mario Bros.,12.00,20.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106,Nintendo DS,834,9.00
Mario Kart DS,9.00,15.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338,Nintendo DS,834,6.00
Pokemon Oro HeartGold Sin Pokewalker,18.00,30.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,045496469641,Nintendo DS,834,13.00
Pokemon Diamante,9.00,15.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844,Nintendo DS,834,6.00
Animal Crossing: Wild World,9.00,15.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543,Nintendo DS,834,6.00
Brain Training,0.70,2.00,/product_images/Juegos/DS Juegos/045496462567_s.jpg,045496462567,Nintendo DS,834,0.40
Mas Brain Training,0.90,2.50,/product_images/Juegos/DS Juegos/045496464721_s.jpg,045496464721,Nintendo DS,834,0.60
Pokemon Perla,7.00,12.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,045496464936,Nintendo DS,834,5.00
Pokemon Plata SoulSilver Sin Pokewalker,20.00,32.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,04549646,Nintendo DS,834,14.00
Inazuma Eleven,1.90,5.00,/product_images/Juegos/DS Juegos/045496470647_s.jpg,045496470647,Nintendo DS,834,1.20
Pokemon Edicion Blanca,9.00,15.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,045496471118,Nintendo DS,834,6.00
Legend of Zelda: Phantom Hourglass,11.00,18.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,045496465377,Nintendo DS,834,8.00
Pokemon Mundo Misterioso Equipo Azul,6.00,10.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,045496463595,Nintendo DS,834,4.00
Pokemon Edicion Negra,11.00,18.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,045496471057,Nintendo DS,834,8.00
NintenDogs Labrador & Friends,1.30,3.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg,045496462246,Nintendo DS,834,0.80
Moto Racer 4 (P),2.00,8.00,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,3760156480831,PC,830,1.60
Imperium III,0.70,2.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,PC,830,0.30
Warhammer 40000 - Armageddon (SN),0.30,1.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,PC,830,0.10
Imperium II,0.60,2.00,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,8436010150572,PC,830,0.30
Blackguards,0.60,2.00,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,8436016710787,PC,830,0.30
PATRICIAN II,0.20,0.75,/product_images/defimg3_s.jpg,8436010150541,PC,830,0.10
"Whispered World, The - Edición Especial",0.90,2.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,PC,830,0.50
Torrente El Juego,0.20,0.75,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,8436010150527,PC,830,0.10
Los Sims 2 (SN),3.00,10.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,PC,830,2.00
