categoria_str,sku,precio_intercambio,categoria_id,precio_venta,precio_compra,img_caratula,titulo
PlayStation 4,711719825265,44.00,1001,65.00,36.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn
PlayStation 4,5026555417037,28.00,1001,45.00,20.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5)
PlayStation 4,5030917181733,22.00,1001,35.00,15.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III
PlayStation 4,0711719454410,17.00,1001,28.00,12.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón
PlayStation 4,5030937116388,31.00,1001,50.00,22.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17
PlayStation 4,5030931112881,4.00,1001,12.00,2.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16
PlayStation 4,5030917197185,17.00,1001,28.00,12.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare
PlayStation 4,3307215913024,34.00,1001,55.00,24.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,Ghost Recon: Wildlands (Sin DLC)
PlayStation 4,5030941113762,25.00,1001,40.00,18.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1
PlayStation 4,3307215966730,22.00,1001,35.00,15.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2
PlayStation 4,5026555421690,13.00,1001,22.00,9.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III
PlayStation 4,3307215893227,12.00,1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate
PlayStation 4,5055060900574,28.00,1001,45.00,20.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard
PlayStation 4,3307215804445,6.00,1001,18.00,4.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The"
PlayStation 4,5030934121637,11.00,1001,18.00,8.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront
Nintendo 3DS,045496526320,14.00,977,22.00,10.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa
Nintendo 3DS,0045496473358,24.00,977,38.00,18.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol
Nintendo 3DS,045496473464,22.00,977,35.00,16.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna
Nintendo 3DS,045496520830,14.00,977,22.00,10.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D
Nintendo 3DS,045496524227,14.00,977,22.00,10.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X
Nintendo 3DS,045496526313,18.00,977,28.00,13.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega
Nintendo 3DS,045496524333,16.00,977,25.00,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y
Nintendo 3DS,045496521301,19.00,977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7
Nintendo 3DS,045496523848,20.00,977,32.00,15.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf
Nintendo 3DS,0045496526283,19.00,977,30.00,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.
Nintendo 3DS,045496524531,13.00,977,20.00,9.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Legend of Zelda: A Link Between Worlds
Nintendo 3DS,045496521233,19.00,977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land
Nintendo 3DS,045496522582,19.00,977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2
