img_caratula,titulo,precio_intercambio,precio_compra,categoria_str,categoria_id,sku,precio_venta
/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,26.00,18.00,PlayStation 4,1001,5030917181733,42.00
/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,43.00,37.00,PlayStation 4,1001,5055060900574,60.00
/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,22.00,15.00,PlayStation 4,1001,5030917197185,35.00
/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),31.00,22.00,PlayStation 4,1001,5026555417037,50.00
/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,22.00,15.00,PlayStation 4,1001,0711719454410,35.00
/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,34.00,24.00,PlayStation 4,1001,5030941113762,55.00
/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,37.00,27.00,PlayStation 4,1001,5030937116388,60.00
/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,17.00,12.00,PlayStation 4,1001,5026555421690,28.00
/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,6.00,4.00,PlayStation 4,1001,5030931112881,18.00
/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,17.00,12.00,PlayStation 4,1001,3307215893227,28.00
/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,28.00,20.00,PlayStation 4,1001,3307215966730,45.00
/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",12.00,9.00,PlayStation 4,1001,3307215804445,20.00
/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,Assassin's Creed: Unity,15.00,11.00,PlayStation 4,1001,3307215803530,25.00
/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,26.00,18.00,PlayStation 4,1001,5021290072985,42.00
/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,15.00,11.00,PlayStation 4,1001,5030934121637,25.00
/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,26.00,19.00,Nintendo 3DS,977,0045496473358,40.00
/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,24.00,18.00,Nintendo 3DS,977,045496473464,38.00
/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,13.00,9.00,Nintendo 3DS,977,045496520830,20.00
/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,16.00,12.00,Nintendo 3DS,977,045496526313,25.00
/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,14.00,10.00,Nintendo 3DS,977,045496526320,22.00
/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,19.00,14.00,Nintendo 3DS,977,045496523848,30.00
