categoria_str,titulo,precio_intercambio,categoria_id,sku,precio_compra,precio_venta,img_caratula
PlayStation 4,Ghost Recon: Wildlands (Sin DLC),54.00,1001,3307215913024,49.00,70.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg
PlayStation 4,Horizon: Zero Dawn,50.00,1001,711719825265,45.00,65.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg
PlayStation 4,Call Of Duty: Infinite Warfare,18.00,1001,5030917197185,13.00,30.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg
PlayStation 4,Uncharted 4: El desenlace del ladrón,20.00,1001,0711719454410,14.00,32.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg
PlayStation 4,Call Of Duty: Black Ops III,24.00,1001,5030917181733,17.00,38.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg
PlayStation 4,Grand Theft Auto V (5),28.00,1001,5026555417037,20.00,45.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg
PlayStation 4,FIFA 17,34.00,1001,5030937116388,24.00,55.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg
PlayStation 4,Mafia III,15.00,1001,5026555421690,11.00,25.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg
PlayStation 4,"Division, The",11.00,1001,3307215804445,8.00,18.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg
PlayStation 4,FIFA 16,5.00,1001,5030931112881,3.00,15.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg
PlayStation 4,Battlefield 1,31.00,1001,5030941113762,22.00,50.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg
PlayStation 4,For Honor (No DLC),42.00,1001,3307215914946,34.00,62.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg
PlayStation 4,Resident Evil 7: Biohazard,39.00,1001,5055060900574,32.00,58.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg
PlayStation 4,Assassin's Creed: Syndicate,13.00,1001,3307215893227,9.00,22.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg
PlayStation 4,Watch Dogs 2,25.00,1001,3307215966730,18.00,40.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg
Nintendo 3DS,Pokemon Sol,24.00,977,0045496473358,18.00,38.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg
Nintendo 3DS,Pokemon Rubi Omega,16.00,977,045496526313,12.00,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg
Nintendo 3DS,Legend Of Zelda Ocarina Of Time 3D,13.00,977,045496520830,9.00,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg
Nintendo 3DS,Pokemon Y,14.00,977,045496524333,10.00,22.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg
Nintendo 3DS,Pokemon Luna,24.00,977,045496473464,18.00,38.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg
Nintendo 3DS,Pokemon: Zafiro Alfa,16.00,977,045496526320,12.00,25.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg
Nintendo 3DS,Super Mario 3D Land,18.00,977,045496521233,13.00,28.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg
Nintendo 3DS,Mario Kart 7,19.00,977,045496521301,14.00,30.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg
Nintendo 3DS,New Super Mario Bros. 2,19.00,977,045496522582,14.00,30.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg
Nintendo 3DS,Pokemon X,18.00,977,045496524227,13.00,28.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg
Nintendo 3DS,Legend of Zelda: A Link Between Worlds,11.00,977,045496524531,8.00,18.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg
Nintendo 3DS,Animal Crossing: New Leaf,19.00,977,045496523848,14.00,30.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg
Nintendo 3DS,Super Smash Bros.,19.00,977,0045496526283,14.00,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg
